"Collection","docname","Tag","pattern","from","to","pre","keyword","post"
"Medical School (University of Michigan) Records, 1850-2010","umich-bhl-87253_36","bioghist","gay",7,7,"The school appointed its first openly","gay","administrator , Dr . Elizabeth Petty , as Senior Associate Dean for Academic Affairs , and first African American to lead a department , Dr"
"Michigan Organization for Human Rights Records","umich-bhl-85287_39","abstract","gay",33,33,"rights organizations , served as resource , lobbying and educational agent for organizations and individuals engaged in struggle to eliminate all forms of discrimination ,","gay","and lesbian rights became an early focus of MOHR ."
"Michigan Organization for Human Rights Records","umich-bhl-85287_40","bioghist","gay",7,7,"Although civil rights for lesbians and","gay","men were not to be the sole focus of the organization , the provision of educational materials and legal advice concerning issues surrounding sexual orientation"
"Michigan Organization for Human Rights Records","umich-bhl-85287_41","bioghist","gay",26,26,"The organization met with many successes in its attempts to keep both the public and lawmakers informed about issues of concern to Michigan's lesbian and","gay","communities ."
"Michigan Organization for Human Rights Records","umich-bhl-85287_42","bioghist","gay",9,9,"Combined with the founding of new lesbian and","gay","male social and political organizations in the area's urban centers , this led to a diminution of M.O.H.R . ' s political effectiveness and fundraising"
"Michigan Organization for Human Rights Records","umich-bhl-85287_43","bioghist","gay",15,15,"As Detroit's first radio program "" by , for , and about gays and","gay","liberation , "" the program focused on such topics as coming out , oppression , religion , and gays in film , theater , literature"
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_45","bioghist","gay",9,9,"In the 1980s , two of Neubeckers '","gay","family members and Janice's former teacher fell victims of hate crimes ; another gay family member was physically assaulted ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_45","bioghist","gay",23,23,"In the 1980s , two of Neubeckers ' gay family members and Janice's former teacher fell victims of hate crimes ; another","gay","family member was physically assaulted ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_46","bioghist","gay",42,42,"Gays ( PFLAG ) meetings , the organization for parents , families , friends , and straight allies united with people who are lesbian ,","gay",", bisexual , and transgender ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_48","bioghist","gay",12,12,"A good chunk of his routine is about having an openly","gay","son , and his humorous message is intended primarily for parents of gay children ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_48","bioghist","gay",25,25,"A good chunk of his routine is about having an openly gay son , and his humorous message is intended primarily for parents of","gay","children ."
"the Lansing Association for Human Rights records","umich-bhl-9951_51","bioghist","gay",12,12,"In 1979 , after Lansing police raided local bars popular among","gay","men and made arrests , LAHR compiled a 100-page report that demonstrated how the arrests were"
"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","umich-bhl-9775_52","scopecontent","gay",15,15,"The collection also includes copies of letters asking for advice about coming out or","gay","friends or relatives ."
"the parents, Families and Friends of Lesbians and Gays (Ann Arbor, Mich.) records","umich-bhl-9775_53","abstract","gay",13,13,"Also , copies of letters asking for advice about coming out or","gay","friends or relatives ."
"Parents, Families and Friends of Lesbians and Gays, Lansing area chapter records","umich-bhl-00140_54","bioghist","gay",25,25,"The idea for PFLAG was conceived by Jeanne Manford , a fourth-grade teacher in New York City , who in 1972 marched with her","gay","son in the New York City gay pride parade bearing the sign , "" Parents of Gays : Unite in Support of Our Children ."
"Parents, Families and Friends of Lesbians and Gays, Lansing area chapter records","umich-bhl-00140_54","bioghist","gay",32,32,"by Jeanne Manford , a fourth-grade teacher in New York City , who in 1972 marched with her gay son in the New York City","gay","pride parade bearing the sign , "" Parents of Gays : Unite in Support of Our Children . "" Manford was inundated with requests from"
"Eugene Ransom and Jeanne Bailey Ransom Papers, 1914-2001","umich-bhl-2012115_56","bioghist","gay",25,25,"As a pastor , Eugene and Jeanne were both concerned with social issues , especially peace and justice , racial equality , women's and","gay","rights ."
"the Christopher Armstrong papers.","umich-bhl-2014124_57","abstract","gay",6,6,"Armstrong was the first openly","gay","student body president of the Michigan Student Assembly at the University of Michigan ."
"the Christopher Armstrong papers.","umich-bhl-2014124_62","bioghist","gay",19,19,"In 2010 , Armstrong was elected president of the Michigan Student Assembly , making him the first openly","gay","student body president of the University of Michigan ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_63","abstract","gay",9,9,"Kolb's papers include legislative files mainly relating to","gay","issues , including gay marriage and hate crime legislation ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_63","abstract","gay",13,13,"Kolb's papers include legislative files mainly relating to gay issues , including","gay","marriage and hate crime legislation ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_64","scopecontent","gay",9,9,"Kolb's papers include legislative files mainly relating to","gay","issues , including gay marriage and hate crime legislation ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_64","scopecontent","gay",13,13,"Kolb's papers include legislative files mainly relating to gay issues , including","gay","marriage and hate crime legislation ."
"Chris Kolb papers, 1997-2006","umich-bhl-0733_65","bioghist","gay",10,10,"He was especially involved in legislative issues relating to","gay","rights , land use and the environment , and health insurance ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_67","abstract","gay",22,22,"Organization established in 1989 by University of Michigan librarians and information science professionals and students to promote awareness of lesbian ,","gay",", bisexual and transgender issues within the university libraries and School of Information ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_68","scopecontent","gay",20,20,"Documentation details the events and activities of LILA as well as issues and events of general interest to the","gay",", lesbian , bisexual and transgender community ."
"Lavender Information and Library Association records, 1989-2008","umich-bhl-9916_70","bioghist","gay",12,12,"The mission of LILA was to promote awareness of lesbian ,","gay",", bisexual and transgender issues within the School of Information , the university libraries and throughout the university ."
"the Christopher Armstrong papers.","umich-bhl-2014124_71","scopecontent","gay",13,13,"The collection documents the experiences of Christopher Armstrong , the first openly","gay","student body president of the University of Michigan , during his tenure as an undergraduate student , president of the Michigan Student Assembly ( MSA"
"Spectrum Center records","umich-bhl-02139_74","bioghist","gay",28,28,"the office were two individuals , a lesbian advocate Cynthia Gair , also known as Cindi , Cyndy , or Cindy Gair , and a","gay","male advocate James ( Jim ) W ."
"Spectrum Center records","umich-bhl-02139_75","bioghist","gay",19,19,"In 1994 , the office ceased having two individuals in charge ( one for lesbians and one for","gay","males ) and a single director headed the Program ."
"Spectrum Center records","umich-bhl-02139_76","bioghist","gay",12,12,"From the beginning , education , peer advising and counseling ,","gay","rights advocacy , and community organization were the primary concerns of the Human Sexuality Office ."
"the Christopher Armstrong papers.","umich-bhl-2014124_82","bioghist","gay",14,14,"He attended the University of Michigan , where he became involved in Michigan’s","gay","community ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_83","abstract","gay",10,10,"Web collection of websites created by various lesbian ,","gay",", bisexual , and transgender organizations in the State of Michigan , archived by the Bentley Historical Library using the California Digital Library Web Archiving"
"Spectrum Center records","umich-bhl-02139_85","abstract","gay",11,11,"Documentation also includes posters ; photos of rights marches ,","gay","pride events , and celebration events ; audio-visual material ; and oral histories ."
"Triangle Foundation Records","umich-bhl-0092_89","bioghist","gay",19,19,"The mission of this organization was to promote the education , awareness and understanding of the lives of","gay","men and lesbians ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_92","bioghist","gay",9,9,"In the course of his research on the","gay","community of Detroit and its suburbs since WWII , he has conducted numerous oral histories with key figures in the community ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_93","scopecontent","gay",10,10,"Topics of discussion include experiences of coming out and","gay","life , Detroit’s gay bar scene and other community spaces , and involvement in a variety of organizations including the Detroit Gay Liberation Front ,"
"the Tim Retzloff oral history interviews","umich-bhl-2012158_93","scopecontent","gay",14,14,"Topics of discussion include experiences of coming out and gay life , Detroit’s","gay","bar scene and other community spaces , and involvement in a variety of organizations including the Detroit Gay Liberation Front , the Gay Liberator ,"
"the Reconciliation Metropolitan Community Church collection","umich-bhl-0651_94","bioghist","gay",12,12,"Church established in 1980 to serve the religious needs of the","gay","community in Grand Rapids , Mich ."
"Daniel Tsang papers, 1970-1978","umich-bhl-85426_95","abstract","gay",24,24,"Topical files concerning the organization and strike of the GEO in 1975 ; also papers relating to affirmative action and issues relating to","gay","University students ."
"Daniel Tsang papers, 1970-1978","umich-bhl-85426_96","scopecontent","gay",13,13,"There are also topical files relating to affirmative action and problems confronting","gay","University students ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_100","abstract","gay",17,17,"Organization founded in 1995 to encourage increased visibility and acceptance and appreciation of the lesbian /","gay","/ bisexual and transgender community in Washtenaw County through education and political action ."
"Triangle Foundation Records","umich-bhl-0092_101","bioghist","gay",27,27,"Foundation is a Detroit-based civil rights organization whose mission is "" to promote equality and to secure freedom from violence , intimidation and discrimination for","gay",", lesbian , bisexual and transgender persons throughout Michigan . """
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_104","bioghist","gay",44,44,"the growth of scouting for Equality ( sfE ) as an alternative to the Boys Scouts of America after they created a discriminatory policy excluding","gay","members ."
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_105","bioghist","gay",23,23,"Jim Toy was one of the first people to come out publicly in the state of Michigan and is a leader of","gay","rights activism in Michigan ."
"Sherwin T. Wine papers, 1930s-2011","umich-bhl-045_108","abstract","gay",12,12,"Wine was the iconoclastic founder of Humanistic Judaism and an openly","gay","rabbi who established the Birmingham Temple and formed the Society for Humanistic Judaism , the Center for New Thinking ( a community forum for discussion"
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_115","bioghist","gay",28,28,"organization of the Michigan Campaign for Human Dignity was established to enlist opposition to a state ballot initiative that would deny equal discrimination protection to","gay","men and lesbians ."
"the Dan Bessie collection","umich-bhl-0310_116","abstract","gay",9,9,"Brown and Roddy Brandon were the three openly","gay","partners forming the Yale Puppeteers and who operated the Turnabout Theater in Hollywood ."
"Triangle Foundation Records","umich-bhl-0092_117","scopecontent","gay",23,23,"This record group documents the administration and activities of this advocacy organization to bring public attention to issues impacting the lives of","gay","males and lesbians ."
"Rudy Serra Papers, 1983-1984 and 1991-2002","umich-bhl-0595_123","bioghist","gay",27,27,"was president of the Stonewall Bar Association which assists legal professionals with an interest in sexual orientation issues and the law as it relates to","gay",", lesbian and bisexual people ."
"Daniel R. Sivil Papers","umich-bhl-0167_124","abstract","gay",6,6,"Sivil was active in the","gay","and lesbian civil rights and advocacy movement of the 1980s ."
"Daniel R. Sivil Papers","umich-bhl-0167_125","scopecontent","gay",11,11,"The papers of Daniel Ross Sivil provide insight into the","gay","and lesbian civil rights and advocacy movement of the early 1980s on both a personal and professional level ."
"Daniel R. Sivil Papers","umich-bhl-0167_126","bioghist","gay",8,8,"He played an important role in the","gay","and lesbian civil rights and advocacy movement of the 1980s in Detroit , the state of Michigan , and nationally through his work in local"
"Daniel R. Sivil Papers","umich-bhl-0167_126","bioghist","gay",36,36,"civil rights and advocacy movement of the 1980s in Detroit , the state of Michigan , and nationally through his work in local and national","gay","rights organizations ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_130","bioghist","gay",18,18,"In 2004 Kavanaugh published a book < title render = "" italic "" > Welcome to the","gay","age < / title > ( Tucson , Ariz ."
"Triangle Foundation Records","umich-bhl-0092_131","abstract","gay",6,6,"The Triangle Foundation is a","gay","and lesbian civil rights and advocacy organization , located in Detroit , Michigan and formed in 1990 ."
"James W. Toy Papers","umich-bhl-9744_133","bioghist","gay",4,4,"Following a statewide","gay","conference held at the University of Michigan in the summer of 1970 , Toy began urging the creation of a program to address the needs"
"James W. Toy Papers","umich-bhl-9744_133","bioghist","gay",33,33,"the University of Michigan in the summer of 1970 , Toy began urging the creation of a program to address the needs of the university's","gay","male and lesbian students ."
"James W. Toy Papers","umich-bhl-9744_135","bioghist","gay",11,11,"From the beginning education , peer advising and counseling ,","gay","rights advocacy , and community organization were the primary concerns of the Human Sexuality Office ."
"James W. Toy Papers","umich-bhl-9744_136","bioghist","gay",19,19,"From the beginning , the advocates sought to educate the university community to dispel myths and stereotypes about","gay","life ."
"James W. Toy Papers","umich-bhl-9744_137","bioghist","gay",46,46,"to co-facilitate "" coming out "" groups for individuals seeking to affirm their sexual orientation to themselves , to other members of the lesbian and","gay","male communities , and to heterosexual people ."
"James W. Toy Papers","umich-bhl-9744_139","bioghist","gay",19,19,"The Human Sexuality Office under Toy's and the lesbian advocates ' leadership helped students and other lesbians and","gay","men to organize groups to meet specific needs ."
"James W. Toy Papers","umich-bhl-9744_140","bioghist","gay",20,20,"The university's attitude toward LGBPO has been somewhat ambivalent , reflecting society's attitudes toward the needs and concerns of","gay","men and lesbians ."
"James W. Toy Papers","umich-bhl-9744_141","bioghist","gay",21,21,"Within his diocese , he has worked long and consistently to make the church more welcoming to the lesbian and","gay","male community ."
"James W. Toy Papers","umich-bhl-9744_142","bioghist","gay",6,6,"Toy's activism on behalf of","gay","rights also extended into the political and public policy arena ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","gay",29,29,"of correspondence , essays and articles , e-mails , conference materials , organizational records , publications and articles on the subjects of GLBT history ,","gay","civil rights , gay marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against GLBT persons , religion"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","gay",33,33,"and articles , e-mails , conference materials , organizational records , publications and articles on the subjects of GLBT history , gay civil rights ,","gay","marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against GLBT persons , religion and homosexuality , gay"
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_148","abstract","gay",58,58,"gay marriage , interracial and interfaith marriage , GLBT families , sexual and gender equality , violence against GLBT persons , religion and homosexuality ,","gay","clergy , clergy with AIDS , and violence against GLBT persons ."
"Craig Covey papers, 1987-2010","umich-bhl-9610_151","scopecontent","gay",21,21,"Also of important are files documenting his participation in the political and civic life of Ferndale , both within the","gay","community and as a member of the city council and as Mayor ."
"Craig Covey papers, 1987-2010","umich-bhl-9610_152","bioghist","gay",9,9,"He began his advocacy work on behalf of","gay","rights in Ohio in 1981 ."
"Dignity/Detroit Records, 1974-2004","umich-bhl-04103_159","abstract","gay",5,5,"Organization established to unite","gay","Catholics and provide a vehicle through which they might be heard within the Church and by the wider Detroit community ."
"Dignity/Detroit Records, 1974-2004","umich-bhl-04103_160","bioghist","gay",6,6,"Its purpose was to unite","gay","Catholics and to provide an instrument through which they might be heard by the Church and by the wider Detroit community ."
"Contemporary History Project (The New Left in Ann Arbor, Mich.) transcripts of oral interviews, 1978-1979","umich-bhl-85141_162","scopecontent","gay",32,32,"include civil rights demonstrations , draft resistance and other opposition to the Vietnam War , feminism and the equal rights movement , alternative lifestyles ,","gay","rights , the drug culture , student rights , and the influence of rock and roll music ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_163","scopecontent","gay",10,10,"Duty Papers mainly document the activities of an energetic","gay","and civil rights activist ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_164","bioghist","gay",4,4,"Duty is a","gay","activist who helped lead the fight for Ypsilanti's 1998 anti-discrimination ordinance ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_166","bioghist","gay",12,12,"On February 12 , 1997 , Tri-Pride , a group of","gay","/ lesbian / bisexual / transsexual social work and professional students from Eastern Michigan University , were denied service at Hansen's Standard Printing in Ypsilanti"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","gay",47,47,"family who are committed to the empowerment of Lesbian , Gay , and Bisexual People . "" The group's goals were to promote awareness of","gay","/ lesbian / bisexual / transsexual issues , foster social action and change on issues concerning gay / lesbian / bisexual / transsexual community ,"
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_168","bioghist","gay",64,64,"The group's goals were to promote awareness of gay / lesbian / bisexual / transsexual issues , foster social action and change on issues concerning","gay","/ lesbian / bisexual / transsexual community , and to collaborate with and support other community organizations ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_169","bioghist","gay",12,12,"The Mayor and City Council also apologized to members of the","gay","/ lesbian / bisexual / transsexual community for some of the comments directed at them by members of the public during the HRC meetings ."
"Charles L. Duty Papers, 1997-2000","umich-bhl-0398_170","bioghist","gay",18,18,"Charles Duty continues to be actively involved in local , state , and national community service ,","gay","rights , and political groups ."
"John L. Kavanaugh papers, 1970-2011","umich-bhl-2011124_177","scopecontent","gay",20,20,"Of most value , the collection provides documentation regarding the position of various denominations on questions of homosexuality and","gay","and interracial marriage ; racial and ethnic discrimination , and voters ' suppression based on race and ethnicity ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_182","abstract","gay",19,19,"Affirmations Lesbian / Gay Community Center was established in 1989 to serve as a resource to lesbian ,","gay",", bisexual and transgender individuals in the greater Detroit area ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_184","bioghist","gay",17,17,"Affirmations Lesbian / Gay Community Center was founded in 1989 based on the philosophy that ""","gay","is good , you are not alone . "" Originally established as offshoot of the Michigan Organization for Human Rights ( MOHR ) , Affirmations"
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_185","bioghist","gay",30,30,", the organization adopted a new mission statement in 1997 : "" Affirmations Lesbian / Gay Community Center works to achieve respect and equality for","gay",", lesbian , bisexual and transgender people through social service programs , advocacy , and education ."
"Affirmations Lesbian/Gay Community Center Records, 1989-2004","umich-bhl-0544_186","bioghist","gay",21,21,"Affirmations continued to develop new programs to service the community , and it responded to changing social attitudes toward the","gay","community by placing greater emphasis on its youth services and diversity programs ."
"American Friends Service Committee. Michigan Area Office records, 1956-2002","umich-bhl-85478_189","abstract","gay",64,64,"system , and peace education ( especially relating to the Middle East and the conflict between Israel and the Palestinians ) , and lesbian /","gay","issues ."
"Robert Alexander Papers","umich-bhl-8515_190","bioghist","gay",11,11,"Thus the City Council found itself debating such issues as","gay","and women's rights , day care centers , decriminalization of prostitution and marijuana and the Vietnam War ."
"Canterbury House, Ann Arbor, Mich. Records, 1930-2008","umich-bhl-0648_194","bioghist","gay",10,10,"In the 1970s , the ministry supported the growing","gay","liberation movement and was the site for LGBTQ support groups ."
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_196","scopecontent","gay",12,12,"The collection also includes a collection of matchbooks and matchboxes from","gay","bars , restaurants , baths , and other businesses in Detroit and surrounding areas , elsewhere in Michigan and Ontario , and to a lesser"
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_197","bioghist","gay",35,35,"founded in 1976 as a social and political organization for Metropolitan Detroit gays and lesbians ( for most of its history it was primarily a","gay","male organization ) ."
"Lisa Marshall Bashert Papers, 1971-2016","umich-bhl-0526_203","scopecontent","gay",20,20,"Another series in the collection , Local Organization and Projects , contains files related to environmental sustainability , and","gay","and lesbian rights organizations in Ypsilanti during the 2000s ."
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_209","scopecontent","gay",45,45,"Nites are included , events held at the Interchange , the Outlaw , the R & amp ; R Saloon , and other Detroit area","gay","bars ."
"Paul C. Heaton Papers, 1997-2001","umich-bhl-0679_212","bioghist","gay",28,28,"rights ordinance controversy surfaced in Ypsilanti in February 1997 when a local print shop refused to print raffle tickets for Tri-Pride , a lesbian ,","gay",", bisexual and transgender Eastern Michigan student group because of the type of group that they represented ."
"Ann Heler Papers, 1993-1998","umich-bhl-2011064_217","abstract","gay",20,20,"Papers of Ann Heler , a resident of Ferndale , Mich . , who was a leader of the","gay","and lesbian community ."
"Ann Heler Papers, 1993-1998","umich-bhl-2011064_219","bioghist","gay",7,7,"and an active member of the","gay","and lesbian community ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_222","bioghist","gay",30,30,"the congregation was significantly affected by debate over affiliation with the Universal Fellowship of Metropolitan Community Churches ( FMCC ) , a national network of","gay","and lesbian ministries ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_223","bioghist","gay",20,20,"Huron Valley Community Church was formed in 1985 as an independent ecumenical church to minister to the lesbian and","gay","male communities of the Huron Valley area ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_226","scopecontent","gay",16,16,"Newspaper Clippings , 1987-1994 , are a rich source for information on subjects affecting the","gay","and lesbian community in Ann Arbor ."
"Human Rights Party (Ann Arbor, Mich.) Records, 1970-1979","umich-bhl-0586_228","bioghist","gay",9,9,"All three HRP City Council officials were openly","gay",", another revolutionary issue at the time ."
"Huron Valley Community Church (Ann Arbor, Mich.) Records, 1984-1994","umich-bhl-952_229","abstract","gay",11,11,"Independent ecumenical church established in 1985 to minister to the","gay","and lesbian community of Ann Arbor , Michigan ."
"Paul C. Heaton Papers, 1997-2001","umich-bhl-0679_232","abstract","gay",22,22,"Heaton was the co-chair of the Ypsilanti Campaign for Equality and the Traverse City Campaign Against Discrimination , organizations fighting for","gay","rights in reference to human rights ordinances in their respective cities ."
"James W. Toy Papers","umich-bhl-9744_240","bioghist","gay",31,31,"served as a member of the diocesan commission on homosexuality ; in 1975 , he helped establish a Detroit area chapter of Integrity , a","gay","Episcopal organization ; in 1976 , he became a member of the diocesan Church and Society Committee ; and since 1989 , he has been"
"James W. Toy Papers","umich-bhl-9744_247","bioghist","gay",21,21,"The objectives of the office , as stated by Toy in his first annual report , were "" to help","gay","people solve the problems they experience in a predominately heterosexual society "" and "" to help educate the University community and the community-at-large about the"
"James W. Toy Papers","umich-bhl-9744_247","bioghist","gay",68,68,"the community-at-large about the nature of sexuality and , specifically , homosexuality ; about the oppression that people endure ; and about the rights that","gay","people should enjoy . """
"Washtenaw Rainbow Action Project Records","umich-bhl-0268_266","bioghist","gay",37,37,"decided to focus their attention on grassroot work within Washtenaw County , devoting themselves to increased visibility and acceptance and appreciation of the lesbian /","gay","/ bisexual and transgender community through education and political action ."
"James W. Toy Papers","umich-bhl-9744_333","bioghist","gay",8,8,"Toy and the lesbian advocates argued that","gay","men and lesbians faced both physical and psychological harassment and civil and human rights discrimination as students and staff members and that only organized advocacy"
"James W. Toy Papers","umich-bhl-9744_335","bioghist","gay",41,41,"years since 1971 have seen many changes , the most important being the gradual recognition of the level of discrimination and harassment facing lesbians and","gay","men on campus , and the university's ( at times reluctant ) willingness to provide protection and to include these individuals as contributing members of"
"Craig Covey papers, 1987-2010","umich-bhl-9610_354","scopecontent","gay",14,14,"There is documentation of his campaign for office and his participation in a","gay","and lesbian neighborhood association , Friends and Neighbors of Ferndale ( FANS for short ) ."
"Social Justice in Michigan Web Archive, 2010-2014","umich-bhl-2014034_1","subjects","gay",60,60,"Civil rights ; Criminal justice , Administration of ; Developmental disabilities ; Disability awareness ; Disabled veterans ; Environmental justice ; Ethnic communities . ;","Gay","rights ; Gays ; Gays ; Gays ; GLBT community of Michigan . ; Homeless persons ; Homosexuality ; Housing policy ; Human rights ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","gay",14,14,"AIDS activists ; Bisexual youth ; Bisexuals ; Bisexuals ; Catholic gays ;","Gay","activists ; Gay rights ; Gay teenagers ; Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ;"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","gay",17,17,"AIDS activists ; Bisexual youth ; Bisexuals ; Bisexuals ; Catholic gays ; Gay activists ;","Gay","rights ; Gay teenagers ; Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; GLBT community of"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","gay",20,20,"AIDS activists ; Bisexual youth ; Bisexuals ; Bisexuals ; Catholic gays ; Gay activists ; Gay rights ;","Gay","teenagers ; Gay youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; GLBT community of Michigan . ;"
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","gay",23,23,"AIDS activists ; Bisexual youth ; Bisexuals ; Bisexuals ; Catholic gays ; Gay activists ; Gay rights ; Gay teenagers ;","Gay","youth ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; Gays ; GLBT community of Michigan . ; Homosexuality ; Lesbian"
"Women in Michigan Web Archive, 2010-2014","umich-bhl-2014037_17","subjects","gay",33,33,"; African American women lawyers ; Armed Forces ; Chaldean Catholics ; Charities ; Endowments ; Environmental protection ; Ethnic communities . ; Gardening ;","Gay","military personnel ; Iraqis ; Lesbians ; LGBT community of Michigan . ; Natural resources . ; Nonprofit organizations ; Politics and public policy ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_23","scopecontent","gay",7,7,"The Web Archive of Lesbian ,","Gay",", Bisexual , and Transgender Community of Michigan collection contains archived websites created by various LGBT groups and individuals of the State of Michigan ."
"Anonymous Association of Suburban People officer’s papers, 1973-2004","umich-bhl-2013071_26","bioghist","gay",26,26,"By the 1980s the ASP had become the largest LGBT organization in Michigan , and in 1985 it changed its name to South Eastern Michigan","Gay","and Lesbian Association ( SEMGLA ) to more accurately describe its mission ."
"the Tim Retzloff oral history interviews","umich-bhl-2012158_28","subjects","gay",1,1,"","Gay","activists ; Gay activists ; Gay youth ; Gay youth ; Lesbian youth ; Lesbian youth ; LGBT community ; LGBT community of Michigan ."
