"Var1","Var2","Freq"
"Myron E. Wegman Papers, 1939-2004","colonial",0
"Netzorg Family Papers, late 1880s-2012","colonial",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","colonial",0
"Owen A. Tomlinson papers, 1899-1920","colonial",1
"Philip A. Hart Papers","colonial",0
"Richard Nims papers, 1880s-1990s","colonial",0
"Richard Schneidewind papers, 1899-1914","colonial",0
"Robert D. Aldrich Collection","colonial",0
"Sligh Family Papers","colonial",0
"Stanley M. Swinton papers, 1935-1985","colonial",0
"the Albert Kahn Associates records, 1825-2014","colonial",0
"the Barbara Bassett McIver papers","colonial",0
"the Edward Nicholas and Dollie Ann Cole papers","colonial",0
"the Grant Kohn Goodman research files","colonial",0
"the Harold Dunbar Corbusier papers, 1883-1979","colonial",0
"Theodore H. Hubbell Papers","colonial",0
"Thomas Francis Papers","colonial",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","colonial",0
"Walker Lee Cisler Papers","colonial",0
"Walter W. Marquardt Papers, 1896-1952","colonial",0
"Wilfred B. Shaw Papers","colonial",0
"Wright family papers, 1825-1938","colonial",0
"WUOM Records, 1914-1982","colonial",0
"American Citizens for Justice records","Colonial",0
"Arthur H. Vandenberg Papers, 1884-1974","Colonial",0
"Arthur J. Lacy Papers","Colonial",0
"Blanchard Family Papers, ca. 1835-ca. 2000","Colonial",0
"Charles A. Sink Papers, 1900-1996","Colonial",0
"Charles W. Lane papers, 1935-1997","Colonial",0
"Chase S. Osborn Papers","Colonial",0
"David Wheeler Palmer and family papers, 1807-1982","Colonial",0
"Dean C. Worcester Papers","Colonial",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Colonial",0
"Department of History (University of Michigan) Senior Honors Theses","Colonial",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Colonial",0
"Donald Maxwell Matthews photographs, 1924-1982","Colonial",0
"Earl D. Babst papers, 1899-1967","Colonial",0
"Edmond DeVine papers","Colonial",0
"Edward Gajec Papers","Colonial",0
"Eleanor M. Bumgardner papers, 1919-1967","Colonial",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Colonial",0
"Eugene Gressman papers, 1935-1967","Colonial",0
"Frank Murphy Papers, 1908-1949","Colonial",0
"Frank R. Kennedy Papers","Colonial",0
"Fred E. Benz motion picture collection, 1929-1950","Colonial",0
"George A. Malcolm papers, 1896-1965","Colonial",1
"George E. Bushnell papers, 1921-1965","Colonial",0
"George Owen Squier Papers, 1883-1934","Colonial",0
"Grant Kohn Goodman papers, 1943-1995","Colonial",0
"Harry Burns Hutchins papers","Colonial",1
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Colonial",0
"Hinsdale family papers, 1857-1963","Colonial",0
"Hubbell Family Papers, 1859-1983","Colonial",0
"Interlochen Center for The Arts Records, 1927-2005","Colonial",0
"Irene Ellis Murphy papers, 1917-1984","Colonial",0
"Ivan F. Duff papers, 1947-1994","Colonial",0
"Jacob Ellsworth Reighard Papers","Colonial",0
"James J. Blanchard Papers, 1982-2002","Colonial",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","Colonial",0
"John C. Early Papers","Colonial",0
"John D. Dingell Papers","Colonial",0
"Joseph Beal Steere Papers","Colonial",0
"Joseph Ralston Hayden Papers","Colonial",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","Colonial",0
"Josephine Fellows Gomon papers, 1913-1975","Colonial",0
"Junius E. Beal Papers","Colonial",0
"Luce Philippine Project interviews, 1975-1980","Colonial",0
"Manuel Luis Quezon papers, 1909-1944","Colonial",0
"Marion L. Burton Papers","Colonial",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","Colonial",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","Colonial",0
"Myron E. Wegman Papers, 1939-2004","Colonial",0
"Netzorg Family Papers, late 1880s-2012","Colonial",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","Colonial",0
"Owen A. Tomlinson papers, 1899-1920","Colonial",0
"Philip A. Hart Papers","Colonial",0
"Richard Nims papers, 1880s-1990s","Colonial",0
"Richard Schneidewind papers, 1899-1914","Colonial",0
"Robert D. Aldrich Collection","Colonial",0
"Sligh Family Papers","Colonial",0
"Stanley M. Swinton papers, 1935-1985","Colonial",0
"the Albert Kahn Associates records, 1825-2014","Colonial",0
"the Barbara Bassett McIver papers","Colonial",0
"the Edward Nicholas and Dollie Ann Cole papers","Colonial",0
"the Grant Kohn Goodman research files","Colonial",0
"the Harold Dunbar Corbusier papers, 1883-1979","Colonial",0
"Theodore H. Hubbell Papers","Colonial",0
"Thomas Francis Papers","Colonial",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","Colonial",0
"Walker Lee Cisler Papers","Colonial",0
"Walter W. Marquardt Papers, 1896-1952","Colonial",0
"Wilfred B. Shaw Papers","Colonial",0
"Wright family papers, 1825-1938","Colonial",0
"WUOM Records, 1914-1982","Colonial",0
"American Citizens for Justice records","Colonialism",0
"Arthur H. Vandenberg Papers, 1884-1974","Colonialism",0
"Arthur J. Lacy Papers","Colonialism",0
"Blanchard Family Papers, ca. 1835-ca. 2000","Colonialism",0
"Charles A. Sink Papers, 1900-1996","Colonialism",0
"Charles W. Lane papers, 1935-1997","Colonialism",0
"Chase S. Osborn Papers","Colonialism",0
"David Wheeler Palmer and family papers, 1807-1982","Colonialism",0
"Dean C. Worcester Papers","Colonialism",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Colonialism",0
"Department of History (University of Michigan) Senior Honors Theses","Colonialism",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Colonialism",0
"Donald Maxwell Matthews photographs, 1924-1982","Colonialism",0
"Earl D. Babst papers, 1899-1967","Colonialism",0
"Edmond DeVine papers","Colonialism",0
"Edward Gajec Papers","Colonialism",0
"Eleanor M. Bumgardner papers, 1919-1967","Colonialism",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Colonialism",0
"Eugene Gressman papers, 1935-1967","Colonialism",0
"Frank Murphy Papers, 1908-1949","Colonialism",0
"Frank R. Kennedy Papers","Colonialism",0
"Fred E. Benz motion picture collection, 1929-1950","Colonialism",0
"George A. Malcolm papers, 1896-1965","Colonialism",1
"George E. Bushnell papers, 1921-1965","Colonialism",0
"George Owen Squier Papers, 1883-1934","Colonialism",0
"Grant Kohn Goodman papers, 1943-1995","Colonialism",0
"Harry Burns Hutchins papers","Colonialism",0
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Colonialism",0
"Hinsdale family papers, 1857-1963","Colonialism",0
"Hubbell Family Papers, 1859-1983","Colonialism",0
"Interlochen Center for The Arts Records, 1927-2005","Colonialism",0
"Irene Ellis Murphy papers, 1917-1984","Colonialism",0
"Ivan F. Duff papers, 1947-1994","Colonialism",0
"Jacob Ellsworth Reighard Papers","Colonialism",0
"James J. Blanchard Papers, 1982-2002","Colonialism",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","Colonialism",0
"John C. Early Papers","Colonialism",0
"John D. Dingell Papers","Colonialism",0
"Joseph Beal Steere Papers","Colonialism",0
"Joseph Ralston Hayden Papers","Colonialism",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","Colonialism",0
"Josephine Fellows Gomon papers, 1913-1975","Colonialism",0
"Junius E. Beal Papers","Colonialism",0
"Luce Philippine Project interviews, 1975-1980","Colonialism",0
"Manuel Luis Quezon papers, 1909-1944","Colonialism",0
"Marion L. Burton Papers","Colonialism",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","Colonialism",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","Colonialism",0
"Myron E. Wegman Papers, 1939-2004","Colonialism",0
"Netzorg Family Papers, late 1880s-2012","Colonialism",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","Colonialism",0
"Owen A. Tomlinson papers, 1899-1920","Colonialism",0
"Philip A. Hart Papers","Colonialism",0
"Richard Nims papers, 1880s-1990s","Colonialism",0
"Richard Schneidewind papers, 1899-1914","Colonialism",0
"Robert D. Aldrich Collection","Colonialism",0
"Sligh Family Papers","Colonialism",0
"Stanley M. Swinton papers, 1935-1985","Colonialism",0
"the Albert Kahn Associates records, 1825-2014","Colonialism",0
"the Barbara Bassett McIver papers","Colonialism",0
"the Edward Nicholas and Dollie Ann Cole papers","Colonialism",0
"the Grant Kohn Goodman research files","Colonialism",0
"the Harold Dunbar Corbusier papers, 1883-1979","Colonialism",0
"Theodore H. Hubbell Papers","Colonialism",0
"Thomas Francis Papers","Colonialism",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","Colonialism",0
"Walker Lee Cisler Papers","Colonialism",0
"Walter W. Marquardt Papers, 1896-1952","Colonialism",0
"Wilfred B. Shaw Papers","Colonialism",0
"Wright family papers, 1825-1938","Colonialism",0
"WUOM Records, 1914-1982","Colonialism",0
"American Citizens for Justice records","Colonists",0
"Arthur H. Vandenberg Papers, 1884-1974","Colonists",0
"Arthur J. Lacy Papers","Colonists",0
"Blanchard Family Papers, ca. 1835-ca. 2000","Colonists",0
"Charles A. Sink Papers, 1900-1996","Colonists",0
"Charles W. Lane papers, 1935-1997","Colonists",0
"Chase S. Osborn Papers","Colonists",0
"David Wheeler Palmer and family papers, 1807-1982","Colonists",0
"Dean C. Worcester Papers","Colonists",1
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Colonists",0
"Department of History (University of Michigan) Senior Honors Theses","Colonists",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Colonists",0
"Donald Maxwell Matthews photographs, 1924-1982","Colonists",0
"Earl D. Babst papers, 1899-1967","Colonists",0
"Edmond DeVine papers","Colonists",0
"Edward Gajec Papers","Colonists",0
"Eleanor M. Bumgardner papers, 1919-1967","Colonists",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Colonists",0
"Eugene Gressman papers, 1935-1967","Colonists",0
"Frank Murphy Papers, 1908-1949","Colonists",0
"Frank R. Kennedy Papers","Colonists",0
"Fred E. Benz motion picture collection, 1929-1950","Colonists",0
"George A. Malcolm papers, 1896-1965","Colonists",1
"George E. Bushnell papers, 1921-1965","Colonists",0
"George Owen Squier Papers, 1883-1934","Colonists",0
"Grant Kohn Goodman papers, 1943-1995","Colonists",0
"Harry Burns Hutchins papers","Colonists",0
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Colonists",0
"Hinsdale family papers, 1857-1963","Colonists",0
"Hubbell Family Papers, 1859-1983","Colonists",0
"Interlochen Center for The Arts Records, 1927-2005","Colonists",0
"Irene Ellis Murphy papers, 1917-1984","Colonists",0
"Ivan F. Duff papers, 1947-1994","Colonists",0
"Jacob Ellsworth Reighard Papers","Colonists",0
"James J. Blanchard Papers, 1982-2002","Colonists",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","Colonists",0
"John C. Early Papers","Colonists",0
"John D. Dingell Papers","Colonists",0
"Joseph Beal Steere Papers","Colonists",0
"Joseph Ralston Hayden Papers","Colonists",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","Colonists",0
"Josephine Fellows Gomon papers, 1913-1975","Colonists",0
"Junius E. Beal Papers","Colonists",0
"Luce Philippine Project interviews, 1975-1980","Colonists",0
"Manuel Luis Quezon papers, 1909-1944","Colonists",0
"Marion L. Burton Papers","Colonists",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","Colonists",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","Colonists",0
"Myron E. Wegman Papers, 1939-2004","Colonists",0
"Netzorg Family Papers, late 1880s-2012","Colonists",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","Colonists",0
"Owen A. Tomlinson papers, 1899-1920","Colonists",0
"Philip A. Hart Papers","Colonists",0
"Richard Nims papers, 1880s-1990s","Colonists",0
"Richard Schneidewind papers, 1899-1914","Colonists",0
"Robert D. Aldrich Collection","Colonists",0
"Sligh Family Papers","Colonists",0
"Stanley M. Swinton papers, 1935-1985","Colonists",0
"the Albert Kahn Associates records, 1825-2014","Colonists",0
"the Barbara Bassett McIver papers","Colonists",0
"the Edward Nicholas and Dollie Ann Cole papers","Colonists",0
"the Grant Kohn Goodman research files","Colonists",0
"the Harold Dunbar Corbusier papers, 1883-1979","Colonists",0
"Theodore H. Hubbell Papers","Colonists",0
"Thomas Francis Papers","Colonists",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","Colonists",0
"Walker Lee Cisler Papers","Colonists",0
"Walter W. Marquardt Papers, 1896-1952","Colonists",0
"Wilfred B. Shaw Papers","Colonists",0
"Wright family papers, 1825-1938","Colonists",0
"WUOM Records, 1914-1982","Colonists",0
"American Citizens for Justice records","death",1
"Arthur H. Vandenberg Papers, 1884-1974","death",1
"Arthur J. Lacy Papers","death",1
"Blanchard Family Papers, ca. 1835-ca. 2000","death",2
"Charles A. Sink Papers, 1900-1996","death",0
"Charles W. Lane papers, 1935-1997","death",0
"Chase S. Osborn Papers","death",1
"David Wheeler Palmer and family papers, 1807-1982","death",0
"Dean C. Worcester Papers","death",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","death",0
"Department of History (University of Michigan) Senior Honors Theses","death",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","death",0
"Donald Maxwell Matthews photographs, 1924-1982","death",0
"Earl D. Babst papers, 1899-1967","death",1
"Edmond DeVine papers","death",0
"Edward Gajec Papers","death",1
"Eleanor M. Bumgardner papers, 1919-1967","death",1
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","death",0
"Eugene Gressman papers, 1935-1967","death",1
"Frank Murphy Papers, 1908-1949","death",0
"Frank R. Kennedy Papers","death",1
"Fred E. Benz motion picture collection, 1929-1950","death",1
"George A. Malcolm papers, 1896-1965","death",0
"George E. Bushnell papers, 1921-1965","death",1
"George Owen Squier Papers, 1883-1934","death",0
"Grant Kohn Goodman papers, 1943-1995","death",1
"Harry Burns Hutchins papers","death",1
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","death",0
"Hinsdale family papers, 1857-1963","death",1
"Hubbell Family Papers, 1859-1983","death",0
"Interlochen Center for The Arts Records, 1927-2005","death",4
"Irene Ellis Murphy papers, 1917-1984","death",0
"Ivan F. Duff papers, 1947-1994","death",1
"Jacob Ellsworth Reighard Papers","death",0
"James J. Blanchard Papers, 1982-2002","death",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","death",0
"John C. Early Papers","death",0
"John D. Dingell Papers","death",2
"Joseph Beal Steere Papers","death",0
"Joseph Ralston Hayden Papers","death",1
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","death",0
"Josephine Fellows Gomon papers, 1913-1975","death",2
"Junius E. Beal Papers","death",0
"Luce Philippine Project interviews, 1975-1980","death",0
"Manuel Luis Quezon papers, 1909-1944","death",1
"Marion L. Burton Papers","death",2
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","death",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","death",0
"Myron E. Wegman Papers, 1939-2004","death",0
"Netzorg Family Papers, late 1880s-2012","death",1
"News and Information Services (University of Michigan) records, 1900-[ongoing]","death",0
"Owen A. Tomlinson papers, 1899-1920","death",0
"Philip A. Hart Papers","death",1
"Richard Nims papers, 1880s-1990s","death",0
"Richard Schneidewind papers, 1899-1914","death",1
"Robert D. Aldrich Collection","death",0
"Sligh Family Papers","death",2
"Stanley M. Swinton papers, 1935-1985","death",1
"the Albert Kahn Associates records, 1825-2014","death",4
"the Barbara Bassett McIver papers","death",0
"the Edward Nicholas and Dollie Ann Cole papers","death",1
"the Grant Kohn Goodman research files","death",0
"the Harold Dunbar Corbusier papers, 1883-1979","death",0
"Theodore H. Hubbell Papers","death",3
"Thomas Francis Papers","death",1
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","death",0
"Walker Lee Cisler Papers","death",1
"Walter W. Marquardt Papers, 1896-1952","death",0
"Wilfred B. Shaw Papers","death",0
"Wright family papers, 1825-1938","death",0
"WUOM Records, 1914-1982","death",0
"American Citizens for Justice records","Death",0
"Arthur H. Vandenberg Papers, 1884-1974","Death",0
"Arthur J. Lacy Papers","Death",0
"Blanchard Family Papers, ca. 1835-ca. 2000","Death",0
"Charles A. Sink Papers, 1900-1996","Death",0
"Charles W. Lane papers, 1935-1997","Death",0
"Chase S. Osborn Papers","Death",1
"David Wheeler Palmer and family papers, 1807-1982","Death",0
"Dean C. Worcester Papers","Death",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Death",0
"Department of History (University of Michigan) Senior Honors Theses","Death",1
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Death",0
"Donald Maxwell Matthews photographs, 1924-1982","Death",0
"Earl D. Babst papers, 1899-1967","Death",0
"Edmond DeVine papers","Death",0
"Edward Gajec Papers","Death",0
"Eleanor M. Bumgardner papers, 1919-1967","Death",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Death",0
"Eugene Gressman papers, 1935-1967","Death",0
"Frank Murphy Papers, 1908-1949","Death",0
"Frank R. Kennedy Papers","Death",0
"Fred E. Benz motion picture collection, 1929-1950","Death",0
"George A. Malcolm papers, 1896-1965","Death",0
"George E. Bushnell papers, 1921-1965","Death",0
"George Owen Squier Papers, 1883-1934","Death",0
"Grant Kohn Goodman papers, 1943-1995","Death",0
"Harry Burns Hutchins papers","Death",0
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Death",0
"Hinsdale family papers, 1857-1963","Death",0
"Hubbell Family Papers, 1859-1983","Death",0
"Interlochen Center for The Arts Records, 1927-2005","Death",0
"Irene Ellis Murphy papers, 1917-1984","Death",0
"Ivan F. Duff papers, 1947-1994","Death",0
"Jacob Ellsworth Reighard Papers","Death",1
"James J. Blanchard Papers, 1982-2002","Death",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","Death",0
"John C. Early Papers","Death",0
"John D. Dingell Papers","Death",0
"Joseph Beal Steere Papers","Death",0
"Joseph Ralston Hayden Papers","Death",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","Death",0
"Josephine Fellows Gomon papers, 1913-1975","Death",0
"Junius E. Beal Papers","Death",0
"Luce Philippine Project interviews, 1975-1980","Death",0
"Manuel Luis Quezon papers, 1909-1944","Death",0
"Marion L. Burton Papers","Death",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","Death",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","Death",0
"Myron E. Wegman Papers, 1939-2004","Death",0
"Netzorg Family Papers, late 1880s-2012","Death",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","Death",0
"Owen A. Tomlinson papers, 1899-1920","Death",0
"Philip A. Hart Papers","Death",0
"Richard Nims papers, 1880s-1990s","Death",0
"Richard Schneidewind papers, 1899-1914","Death",0
"Robert D. Aldrich Collection","Death",0
"Sligh Family Papers","Death",0
"Stanley M. Swinton papers, 1935-1985","Death",0
"the Albert Kahn Associates records, 1825-2014","Death",0
"the Barbara Bassett McIver papers","Death",0
"the Edward Nicholas and Dollie Ann Cole papers","Death",0
"the Grant Kohn Goodman research files","Death",0
"the Harold Dunbar Corbusier papers, 1883-1979","Death",0
"Theodore H. Hubbell Papers","Death",0
"Thomas Francis Papers","Death",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","Death",0
"Walker Lee Cisler Papers","Death",0
"Walter W. Marquardt Papers, 1896-1952","Death",0
"Wilfred B. Shaw Papers","Death",0
"Wright family papers, 1825-1938","Death",0
"WUOM Records, 1914-1982","Death",0
"American Citizens for Justice records","Dwellings",0
"Arthur H. Vandenberg Papers, 1884-1974","Dwellings",0
"Arthur J. Lacy Papers","Dwellings",2
"Blanchard Family Papers, ca. 1835-ca. 2000","Dwellings",0
"Charles A. Sink Papers, 1900-1996","Dwellings",1
"Charles W. Lane papers, 1935-1997","Dwellings",0
"Chase S. Osborn Papers","Dwellings",1
"David Wheeler Palmer and family papers, 1807-1982","Dwellings",1
"Dean C. Worcester Papers","Dwellings",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Dwellings",0
"Department of History (University of Michigan) Senior Honors Theses","Dwellings",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Dwellings",0
"Donald Maxwell Matthews photographs, 1924-1982","Dwellings",0
"Earl D. Babst papers, 1899-1967","Dwellings",0
"Edmond DeVine papers","Dwellings",0
"Edward Gajec Papers","Dwellings",0
"Eleanor M. Bumgardner papers, 1919-1967","Dwellings",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Dwellings",0
"Eugene Gressman papers, 1935-1967","Dwellings",0
"Frank Murphy Papers, 1908-1949","Dwellings",1
"Frank R. Kennedy Papers","Dwellings",0
"Fred E. Benz motion picture collection, 1929-1950","Dwellings",0
"George A. Malcolm papers, 1896-1965","Dwellings",0
"George E. Bushnell papers, 1921-1965","Dwellings",0
"George Owen Squier Papers, 1883-1934","Dwellings",1
"Grant Kohn Goodman papers, 1943-1995","Dwellings",0
"Harry Burns Hutchins papers","Dwellings",2
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","Dwellings",1
"Hinsdale family papers, 1857-1963","Dwellings",0
"Hubbell Family Papers, 1859-1983","Dwellings",1
"Interlochen Center for The Arts Records, 1927-2005","Dwellings",0
"Irene Ellis Murphy papers, 1917-1984","Dwellings",2
"Ivan F. Duff papers, 1947-1994","Dwellings",0
"Jacob Ellsworth Reighard Papers","Dwellings",0
"James J. Blanchard Papers, 1982-2002","Dwellings",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","Dwellings",0
"John C. Early Papers","Dwellings",0
"John D. Dingell Papers","Dwellings",0
"Joseph Beal Steere Papers","Dwellings",0
"Joseph Ralston Hayden Papers","Dwellings",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","Dwellings",0
"Josephine Fellows Gomon papers, 1913-1975","Dwellings",1
"Junius E. Beal Papers","Dwellings",1
"Luce Philippine Project interviews, 1975-1980","Dwellings",0
"Manuel Luis Quezon papers, 1909-1944","Dwellings",0
"Marion L. Burton Papers","Dwellings",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","Dwellings",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","Dwellings",0
"Myron E. Wegman Papers, 1939-2004","Dwellings",0
"Netzorg Family Papers, late 1880s-2012","Dwellings",0
"News and Information Services (University of Michigan) records, 1900-[ongoing]","Dwellings",0
"Owen A. Tomlinson papers, 1899-1920","Dwellings",0
"Philip A. Hart Papers","Dwellings",0
"Richard Nims papers, 1880s-1990s","Dwellings",0
"Richard Schneidewind papers, 1899-1914","Dwellings",0
"Robert D. Aldrich Collection","Dwellings",1
"Sligh Family Papers","Dwellings",0
"Stanley M. Swinton papers, 1935-1985","Dwellings",0
"the Albert Kahn Associates records, 1825-2014","Dwellings",0
"the Barbara Bassett McIver papers","Dwellings",0
"the Edward Nicholas and Dollie Ann Cole papers","Dwellings",0
"the Grant Kohn Goodman research files","Dwellings",0
"the Harold Dunbar Corbusier papers, 1883-1979","Dwellings",0
"Theodore H. Hubbell Papers","Dwellings",1
"Thomas Francis Papers","Dwellings",0
"University Herbarium (University of Michigan) Records, 1744-1745, 1851-1981, and 2001-2014","Dwellings",0
"Walker Lee Cisler Papers","Dwellings",0
"Walter W. Marquardt Papers, 1896-1952","Dwellings",0
"Wilfred B. Shaw Papers","Dwellings",1
"Wright family papers, 1825-1938","Dwellings",1
"WUOM Records, 1914-1982","Dwellings",0
"American Citizens for Justice records","Executions",0
"Arthur H. Vandenberg Papers, 1884-1974","Executions",0
"Arthur J. Lacy Papers","Executions",0
"Blanchard Family Papers, ca. 1835-ca. 2000","Executions",0
"Charles A. Sink Papers, 1900-1996","Executions",0
"Charles W. Lane papers, 1935-1997","Executions",0
"Chase S. Osborn Papers","Executions",0
"David Wheeler Palmer and family papers, 1807-1982","Executions",0
"Dean C. Worcester Papers","Executions",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","Executions",0
"Department of History (University of Michigan) Senior Honors Theses","Executions",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","Executions",0
"Donald Maxwell Matthews photographs, 1924-1982","Executions",0
"Earl D. Babst papers, 1899-1967","Executions",0
"Edmond DeVine papers","Executions",0
"Edward Gajec Papers","Executions",0
"Eleanor M. Bumgardner papers, 1919-1967","Executions",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","Executions",0
"Eugene Gressman papers, 1935-1967","Executions",0
"Frank Murphy Papers, 1908-1949","Executions",0
"Frank R. Kennedy Papers","Executions",0
