Term,Occurrence (ead_ID),Tag,Collection,Context
gay,umich-bhl-2014124,abstract,the Christopher Armstrong papers.,Armstrong was the first openly gay student body president of the Michigan Student Assembly at the University of Michigan.
gay,umich-bhl-2014025,subjects,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014",AIDS activists; Bisexual youth; Bisexuals; Bisexuals; Catholic gays; Gay activists; Gay rights; Gay teenagers; Gay youth; Gays; Gays; Gays; Gays; Gays; Gays; Gays; GLBT community of Michigan.; Homosexuality; Lesbian youth; Lesbians; Lesbians; Lesbians; Parents of gays; Parents of gays; Religion.; Runaway teenagers; Same-sex marriage; Social justice.; Social work with gay youth; Social work with lesbian youth; Social work with transgender youth; Transgender people; Transgender people; Transgender youth; Women in Michigan.; Women's music festivals
gay,umich-bhl-2011124,subjects,"John L. Kavanaugh papers, 1970-2011",Catholics; Episcopalians; Gay liberation movement; Homosexuality; Local transit; Same-sex marriage.; Transportation
gay,umich-bhl-2024013,scopecontent,the Ross Chambers papers.,"Lectures, speeches, and notes are related to his work on AIDS (particularly in relation to gay men), queer and LGBT+ studies, and French."
gay,umich-bhl-2014124,subjects,the Christopher Armstrong papers.,College student government; Cyberbullying.; Gay college students; Gay men; Gay rights; Gay rights; Lawyers; Online hate speech.; Court records.
gay,umich-bhl-2014124,bioghist,the Christopher Armstrong papers.,"In 2010, Armstrong was elected president of the Michigan Student Assembly, making him the first openly gay student body president of the University of Michigan."
gay,umich-bhl-0733,abstract,"Chris Kolb papers, 1997-2006","Kolb's papers include legislative files mainly relating to gay issues, including gay marriage and hate crime legislation."
gay,umich-bhl-0733,scopecontent,"Chris Kolb papers, 1997-2006","Kolb's papers include legislative files mainly relating to gay issues, including gay marriage and hate crime legislation."
gay,umich-bhl-0733,bioghist,"Chris Kolb papers, 1997-2006","He was especially involved in legislative issues relating to gay rights, land use and the environment, and health insurance."
gay,umich-bhl-0733,subjects,"Chris Kolb papers, 1997-2006",Legislators; Gay rights; Same-sex marriage; Hate crimes
gay,umich-bhl-9916,abstract,"Lavender Information and Library Association records, 1989-2008","Organization established in 1989 by University of Michigan librarians and information science professionals and students to promote awareness of lesbian, gay, bisexual and transgender issues within the university libraries and School of Information."
gay,umich-bhl-9916,scopecontent,"Lavender Information and Library Association records, 1989-2008","Documentation details the events and activities of LILA as well as issues and events of general interest to the gay, lesbian, bisexual and transgender community."
gay,umich-bhl-9916,bioghist,"Lavender Information and Library Association records, 1989-2008","The original name of the organization, Gay and Lesbian Library Staff (GALLS) reflected its founding membership."
gay,umich-bhl-9916,bioghist,"Lavender Information and Library Association records, 1989-2008"," The mission of LILA was to promote awareness of lesbian, gay, bisexual and transgender issues within the School of Information, the university libraries and throughout the university."
gay,umich-bhl-2014124,scopecontent,the Christopher Armstrong papers.,"The collection documents the experiences of Christopher Armstrong, the first openly gay student body president of the University of Michigan, during his tenure as an undergraduate student, president of the Michigan Student Assembly (MSA), and the lawsuit he brought against a Michigan’s assistant attorney general, Andrew Shirvell."
gay,umich-bhl-9916,subjects,"Lavender Information and Library Association records, 1989-2008",Gay college students; Gays; Homosexuality; Lesbians; Sexual orientation; Libraries
gay,umich-bhl-02139,scopecontent,Spectrum Center records,"For earlier records of the office, see the Lesbian-Gay Male-Bisexual Programs Office series within the James W."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"Initially heading the office were two individuals, a lesbian advocate Cynthia Gair, also known as Cindi, Cyndy, or Cindy Gair, and a gay male advocate James (Jim) W."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"In 1994, the office ceased having two individuals in charge (one for lesbians and one for gay males) and a single director headed the Program."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"From the beginning, education, peer advising and counseling, gay rights advocacy, and community organization were the primary concerns of the Human Sexuality Office."
gay,umich-bhl-02139,bioghist,Spectrum Center records,"For a time, the office became home to a 24-hour ""Gay Hotline"" operated by members of the Gay Liberation Front (GLF) and funded privately by the GLF and others."
gay,umich-bhl-02139,bioghist,Spectrum Center records,Gay rights advocacy was a core mission of the office.
gay,umich-bhl-02139,bioghist,Spectrum Center records,"Under Simpson, the office celebrated its 40th anniversary in 2011 by holding a series of celebratory events including inviting alumni back to campus and hosting the Midwest Bisexual Lesbian Gay Transgender Ally College Conference (MBLGTACC)."
gay,umich-bhl-02139,subjects,Spectrum Center records,Bisexual college students; Coming out (Sexual orientation); Demonstrations; Gay college students; Gay rights; Gays; Gays; Homosexuality; Lesbians; Lesbians; Sexual orientation; Transgender college students; Interviews.
gay,umich-bhl-02139,corpnames,Spectrum Center records,Lesbian-Gay Male Program Office.; University of Michigan.
gay,umich-bhl-2014124,bioghist,the Christopher Armstrong papers.,"He attended the University of Michigan, where he became involved in Michigan’s gay community."
gay,umich-bhl-2014025,abstract,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","Web collection of websites created by various lesbian, gay, bisexual, and transgender organizations in the State of Michigan, archived by the Bentley Historical Library using the California Digital Library Web Archiving Service crawler from 2010-2015 and the Archive-It web archiving service beginning in 2015."
gay,umich-bhl-2014025,scopecontent,"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","The Web Archive of Lesbian, Gay, Bisexual, and Transgender Community of Michigan collection contains archived websites created by various LGBT groups and individuals of the State of Michigan."
gay,umich-bhl-02139,abstract,Spectrum Center records,"Documentation also includes posters; photos of rights marches, gay pride events, and celebration events; audio-visual material; and oral histories."
gay,umich-bhl-963,subjects,"the Parents, Families and Friends of Lesbians and Gays (Detroit, Mich.)",Demonstrations; Demonstrations; Gay rights.; Parents of gays; Parents of gays
gay,umich-bhl-2009149,bioghist,"Kathleen Russell papers, 1997-2006","In the mid-1990s she was a member of the campus group Tri-Pride, which is an organization of social work students and professionals committed to empowering gay, lesbian, bisexual, and transgendered people (GLBT)."
gay,umich-bhl-2009149,subjects,"Kathleen Russell papers, 1997-2006",Gay men; Homophobia; Lesbians; Transgender people
gay,umich-bhl-0092,bioghist,Triangle Foundation Records,"The mission of this organization was to promote the education, awareness and understanding of the lives of gay men and lesbians."
gay,umich-bhl-0092,bioghist,Triangle Foundation Records,"The Foundation's major contribution to this effort is in compiling statistics from incident reports in the state of Michigan and contributing to the annual ""Anti-Lesbian, Gay, Bisexual and Transgender Violence"" report."
gay,umich-bhl-0092,subjects,Triangle Foundation Records,Gay rights; Gays; Lesbians; Hate crimes; Lesbians; Lesbians; Religion and politics.; Violence; Legislation; Gay liberation movement; Gay rights; Gay activists.; Gays
gay,umich-bhl-2012158,bioghist,the Tim Retzloff oral history interviews,"In the course of his research on the gay community of Detroit and its suburbs since WWII, he has conducted numerous oral histories with key figures in the community."
gay,umich-bhl-2012158,scopecontent,the Tim Retzloff oral history interviews,"Topics of discussion include experiences of coming out and gay life, Detroit’s gay bar scene and other community spaces, and involvement in a variety of organizations including the Detroit Gay Liberation Front, the Gay Liberator, Detroit Gay Activists, the Green Carnation Community Center, ONE, and the Association of Suburban People."
gay,umich-bhl-0651,bioghist,the Reconciliation Metropolitan Community Church collection,"Church established in 1980 to serve the religious needs of the gay community in Grand Rapids, Mich."
gay,umich-bhl-85426,abstract,"Daniel Tsang papers, 1970-1978",Topical files concerning the organization and strike of the GEO in 1975; also papers relating to affirmative action and issues relating to gay University students.
gay,umich-bhl-85426,scopecontent,"Daniel Tsang papers, 1970-1978",There are also topical files relating to affirmative action and problems confronting gay University students.
gay,umich-bhl-0715,corpnames,"University of Michigan assorted publications, circa 1920 - 2016",Gay and Lesbian Alumni Society.; University of Michigan.
gay,umich-bhl-86747,persnames,"Claude Halstead Van Tyne papers, 1885-1930","(John Archibald), 1872-1947; Farrand, Max, 1869-1945; Farrar, John Chipman, 1896-1974; Faulkner, Harold Underwood, 1890-1968; Ferris, Woodbridge N., 1853-1928; Ford, Guy Stanton, 1873-1962; Ford, Worthington Chauncey, 1858-1941; Fox, Dixon Ryan, 1887-1945; Frayer, William Alley.; Frédéricq, Paul, 1850-1920; Garfield, Harry Augustus, 1863-1942; Garner, James Wilford, 1871-1938; Gay, Edwin F."
gay,umich-bhl-87365-3,corpnames,Provost and Executive Vice-President for Academic Affairs (University of Michigan) Supplemental Files,"Provost's Task Force on the Campus Climate for Transgender, Bisexual, Lesbian, and Gay Faculty, Staff, and Students.; University of Michigan.; University of Michigan."
gay,umich-bhl-0268,abstract,Washtenaw Rainbow Action Project Records,Organization founded in 1995 to encourage increased visibility and acceptance and appreciation of the lesbian/gay/bisexual and transgender community in Washtenaw County through education and political action.
gay,umich-bhl-0092,bioghist,Triangle Foundation Records,"Triangle Foundation is a Detroit-based civil rights organization whose mission is ""to promote equality and to secure freedom from violence, intimidation and discrimination for gay, lesbian, bisexual and transgender persons throughout Michigan."""
gay,umich-bhl-0268,scopecontent,Washtenaw Rainbow Action Project Records,"The 2001 accession material (3.5 linear feet, Boxes 1-4) includes the earliest records in the WRAP record group and date from the period when the Ann Arbor/Washtenaw County chapter of the Michigan Campaign for Human Dignity was active in its opposition to the 1994 anti-gay ballot proposal."
gay,umich-bhl-0268,bioghist,Washtenaw Rainbow Action Project Records,"From this period onward, the organization was able to expand their involvement in such political action efforts as National Coming Out Day, and such educational endeavors as the Gay, Lesbian, Straight Education Network (GLSEN)."
gay,umich-bhl-0268,bioghist,Washtenaw Rainbow Action Project Records, In 2000 WRAP began participating in a project of note in Ann Arbor and Washtenaw County to encourage the growth of scouting for Equality (sfE) as an alternative to the Boys Scouts of America after they created a discriminatory policy excluding gay members.
gay,umich-bhl-0268,bioghist,Washtenaw Rainbow Action Project Records,Jim Toy was one of the first people to come out publicly in the state of Michigan and is a leader of gay rights activism in Michigan.
gay,umich-bhl-0268,subjects,Washtenaw Rainbow Action Project Records,Coming out (Sexual orientation); Gay rights; Gays
gay,umich-bhl-0268,corpnames,Washtenaw Rainbow Action Project Records,"Washtenaw Rainbow Action Project.; Boy Scouts of America.; Gay, Lesbian, and Straight Education Network.; Human Rights Campaign (U.S.); Jim Toy Community Center.; Michigan Campaign for Human Dignity."
gay,umich-bhl-045,abstract,"Sherwin T. Wine papers, 1930s-2011","Wine was the iconoclastic founder of Humanistic Judaism and an openly gay rabbi who established the Birmingham Temple and formed the Society for Humanistic Judaism, the Center for New Thinking (a community forum for discussion of current events and issues), and various groups devoted to free thought and humanism."
gay,umich-bhl-05122,subjects,the Michigan Equality records,Anti-gay violence.; Anti-LGBTQ+ violence.; Gay rights; Homosexuality; LGBTQ+ discrimination.; LGBTQ+ support groups.; LGBTQ+ victims' rights.;  Queer political activists; Police interactions with LGBTQ+ people.; Same-sex marriage
gay,umich-bhl-2014037,subjects,"Women in Michigan Web Archive, 2010-2014",African American judges; African American women; African American women lawyers; Armed Forces; Chaldean Catholics; Charities; Endowments; Environmental protection; Ethnic communities.; Gardening; Gay military personnel; Iraqis; Lesbians; LGBT community of Michigan.; Natural resources.; Nonprofit organizations; Politics and public policy.; Religion.; Women; Women; Women; Women in combat; Women in Michigan.; Women's music festivals
gay,umich-bhl-0310,subjects,the Dan Bessie collection,Gay men; Puppet theaters; Puppeteers; Puppet shows; Puppets.; Children; Children
gay,umich-bhl-07129,subjects,"Ypsilanti Campaign for Equality Records, 1998-2002",Elections; Gay rights
gay,umich-bhl-9795,subjects,Forman G. Brown scrapbook.,Gay college students; Gay college students; Marching bands; Puppeteers; Students; University of Michigan
gay,umich-bhl-00134,subjects,the William Wallace Phillips papers.,Gay men; Hermits; Poetry.
gay,umich-bhl-0268,bioghist,Washtenaw Rainbow Action Project Records,The statewide organization of the Michigan Campaign for Human Dignity was established to enlist opposition to a state ballot initiative that would deny equal discrimination protection to gay men and lesbians.
gay,umich-bhl-0310,abstract,the Dan Bessie collection,Brown and Roddy Brandon were the three openly gay partners forming the Yale Puppeteers and who operated the Turnabout Theater in Hollywood.
gay,umich-bhl-0092,scopecontent,Triangle Foundation Records,This record group documents the administration and activities of this advocacy organization to bring public attention to issues impacting the lives of gay males and lesbians.
gay,umich-bhl-9744,corpnames,James W. Toy Papers,Ann Arbor Gay Liberation Front.; Episcopal Church.
gay,umich-bhl-2009149,corpnames,"Kathleen Russell papers, 1997-2006","Lesbian, Gay, Bisexual and Transgendered Resource Center.; Eastern Michigan University.; Ypsilanti Campaign for Equality."
gay,umich-bhl-2012158,corpnames,the Tim Retzloff oral history interviews,"Association of Suburban People.; Detroit Gay Activists.; Gay Liberation Front of Detroit.; Gay liberator.; Green Carnation Community Center.; ONE, Inc."
gay,umich-bhl-2012158,subjects,the Tim Retzloff oral history interviews,Gay activists; Gay activists; Gay youth; Gay youth; Lesbian youth; Lesbian youth; LGBT community; LGBT community of Michigan.
gay,umich-bhl-8684,persnames,"Walter H. Sawyer papers, 1900-1931","(John Huston), 1863-1940; Garfield, James Rudolph, 1865-1950; Gay, Edwin F."
gay,umich-bhl-0595,bioghist,"Rudy Serra Papers, 1983-1984 and 1991-2002","He was president of the Stonewall Bar Association which assists legal professionals with an interest in sexual orientation issues and the law as it relates to gay, lesbian and bisexual people."
gay,umich-bhl-0167,abstract,Daniel R. Sivil Papers,Sivil was active in the gay and lesbian civil rights and advocacy movement of the 1980s.
gay,umich-bhl-0167,scopecontent,Daniel R. Sivil Papers,The papers of Daniel Ross Sivil provide insight into the gay and lesbian civil rights and advocacy movement of the early 1980s on both a personal and professional level.
gay,umich-bhl-0167,bioghist,Daniel R. Sivil Papers,"He played an important role in the gay and lesbian civil rights and advocacy movement of the 1980s in Detroit, the state of Michigan, and nationally through his work in local and national gay rights organizations."
gay,umich-bhl-0167,subjects,Daniel R. Sivil Papers,Gay activists; Gay rights; Gay liberation movement; Gays; Lesbians; Gay rights.; Gays
gay,umich-bhl-85481,bioghist,Sligh Family Papers,"He clerked for one year at the Foster and Stevens Hardware Store, and then in 1875, he went to work in the finishing room of Berkey and Gay, Grand Rapids furniture manufacturers."
gay,umich-bhl-2014034,subjects,"Social Justice in Michigan Web Archive, 2010-2014","African American men; African American youth; African Americans; African Americans; Amnesty.; Arab Americans; Barrier-free design; Bisexuals; Bisexuals; Catholic gays; Children with disabilities; Civil rights; Criminal justice, Administration of; Developmental disabilities; Disability awareness; Disabled veterans; Environmental justice; Ethnic communities.; Gay rights; Gays; Gays; Gays; GLBT community of Michigan.; Homeless persons; Homosexuality; Housing policy; Human rights.; Hunger.; Islamophobia; Lesbians; Lesbians; Mental health; Mental health services; Mental retardation; Minorities; Muslims; Paralytics; Peace; People with disabilities; People with mental disabilities; Politics and public policy.; Prisoners; Prisoners; Prisoners; Prisons; Prisons; Religious tolerance; Same-sex marriage; Social justice.; Transgender people; Transgender people; Transportation and state"
gay,umich-bhl-2011124,bioghist,"John L. Kavanaugh papers, 1970-2011"," In 2004 Kavanaugh published a book <title render=""italic"">Welcome to the gay age</title> (Tucson, Ariz."
